"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00205807","NEW BALTIMORE 5 SW, MI US","42.6502","-82.8044","173.7","2006",,,,,,
"USC00205807","NEW BALTIMORE 5 SW, MI US","42.6502","-82.8044","173.7","2009",,,,,,
"USC00205807","NEW BALTIMORE 5 SW, MI US","42.6502","-82.8044","173.7","2010",,,,,,
"USC00205807","NEW BALTIMORE 5 SW, MI US","42.6502","-82.8044","173.7","2011",,,,,,
"CA006139525","WINDSOR A, ON CA","42.2833","-82.95","190.0","2006","5","97","5607","52.1","59.9","44.4"
"CA006139525","WINDSOR A, ON CA","42.2833","-82.95","190.0","2007","-3","96","5982","51.2","59.3","43.0"
"CA006139525","WINDSOR A, ON CA","42.2833","-82.95","190.0","2008","0","94","6073","50.1","58.3","41.9"
"CA006139525","WINDSOR A, ON CA","42.2833","-82.95","190.0","2009","-12","94","6385","49.3","57.5","41.2"
"CA006139525","WINDSOR A, ON CA","42.2833","-82.95","190.0","2010","5","95","5800","51.7","59.6","43.8"
"CA006139525","WINDSOR A, ON CA","42.2833","-82.95","190.0","2011","-1","100","6515","50.6","58.2","43.0"
"CA006139525","WINDSOR A, ON CA","42.2833","-82.95","190.0","2012","4","100","5099","53.2","61.7","44.7"
"CA006139525","WINDSOR A, ON CA","42.2833","-82.95","190.0","2013","0","94","6127","49.4","57.3","41.5"
"CA006139525","WINDSOR A, ON CA","42.2833","-82.95","190.0","2014",,,"7123",,,
"CA1ON000333","TECUMSEH 1.0 E, CA","42.319267","-82.873005","178.0","2017",,,,,,
"CA1ON000333","TECUMSEH 1.0 E, CA","42.319267","-82.873005","178.0","2018",,,,,,
"CA1ON000333","TECUMSEH 1.0 E, CA","42.319267","-82.873005","178.0","2019",,,,,,
"USC00200716","BERKLEY, MI US","42.4933","-83.175","202.7","2006",,"98","5928",,"60.5",
"USC00200716","BERKLEY, MI US","42.4933","-83.175","202.7","2007",,"95",,,"60.2",
"USC00200716","BERKLEY, MI US","42.4933","-83.175","202.7","2008",,,"6140",,,
"US1MIMB0022","UTICA 0.8 NNW, MI US","42.639577","-83.027232","198.4","2011",,,,,,
"US1MIMB0022","UTICA 0.8 NNW, MI US","42.639577","-83.027232","198.4","2012",,,,,,
"US1MIMB0022","UTICA 0.8 NNW, MI US","42.639577","-83.027232","198.4","2013",,,,,,
"US1MIMB0022","UTICA 0.8 NNW, MI US","42.639577","-83.027232","198.4","2014",,,,,,
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2006","4","98","5479","52.6","60.8","44.3"
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2007","-3","96","5844","51.5","59.9","43.1"
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2008","0","94","5969","50.2","58.7","41.7"
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2009","-10","95","6307","50.0","58.4","41.6"
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2010","5","96","5601","52.4","60.7","44.2"
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2011","1","100","6295","51.5","59.2","43.8"
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2012","5","101","4894","53.9","62.6","45.2"
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2013","0","97","5940","50.6","58.6","42.7"
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2014","-13","93","6691","48.8","57.1","40.5"
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2015","-10","92","6365","51.3","59.7","42.9"
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2016","1","97","5151","53.4","61.9","44.8"
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2017","-1","95","4994","52.7","61.0","44.4"
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2018","-2","98","6008","51.7","59.4","43.9"
"CA006139520","WINDSOR RIVERSIDE, ON CA","42.3333","-82.9333","188.0","2019","-11","98","6107","51.1","59.0","43.2"
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2006",,,,,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2007",,,,,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2008",,,,,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2009",,,,,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2010",,,,,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2012","2","99",,"51.9","60.9","42.8"
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2013",,,"6260",,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2018","-6","93","6598","49.0","57.0","40.9"
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2019","-13","95","6897","48.6","57.6","39.6"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2006","3","97",,"50.2","59.2","41.2"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2007","-4","96","5983","49.3","58.2","40.3"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2008","0","92","6340","47.9","56.7","39.1"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2009","-10","94","6835","47.5","56.6","38.4"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2010","2","95","6157","50.2","58.9","41.6"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2011","-2","99","6803","49.4","57.8","41.0"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2012","5","99","5402","51.6","60.9","42.4"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2013","0","97","6438","48.1","56.6","39.6"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2014","-13","92","7374","45.9","54.8","36.9"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2015","-16","93","7154","48.4","57.7","39.1"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2016","-3","95","5735","50.8","59.9","41.8"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2017","-6","93","5676","50.2","59.0","41.3"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2018","-9","94","6621","49.1","57.6","40.6"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2019","-12","97","6716","48.6","57.2","39.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2006","1","95","5703","51.6","60.5","42.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2007","-6","96","6014","50.6","60.0","41.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2008","-1","93","6248","49.1","58.4","39.7"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2009","-10","93","6545","48.8","58.0","39.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2010","3","94","5879","51.3","60.6","42.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2011","-2","99","6486","50.5","59.4","41.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2012","2","100","5139","53.4","63.4","43.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2013","-3","94","6172","49.2","58.1","40.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014","-14","93","7091","47.4","56.5","38.2"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2015","-15","91","6741","50.1","59.6","40.6"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2016","-1","95","5393","52.4","61.9","42.8"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2017","-17","92","5342","51.0","61.1","41.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2018","-13","95","6571","49.2","59.0","39.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2019","-18","94","6670","48.6","58.8","38.4"
"USC00202015","DEARBORN, MI US","42.3195","-83.2377","184.4","2007",,"98",,,"61.2",
"USC00202015","DEARBORN, MI US","42.3195","-83.2377","184.4","2008","0",,,,,"39.1"
"USC00202015","DEARBORN, MI US","42.3195","-83.2377","184.4","2011","-2","99",,"49.9","58.9","40.8"
"USC00202015","DEARBORN, MI US","42.3195","-83.2377","184.4","2013","-1","94","6054","48.6","57.6","39.5"
"USC00202015","DEARBORN, MI US","42.3195","-83.2377","184.4","2014","-15","90","6930","46.9","56.3","37.5"
"USC00202015","DEARBORN, MI US","42.3195","-83.2377","184.4","2015","-14","90","6998","48.8","58.5","39.1"
"USC00202015","DEARBORN, MI US","42.3195","-83.2377","184.4","2016","-1","96","5634","51.3","61.0","41.7"
"USC00202015","DEARBORN, MI US","42.3195","-83.2377","184.4","2017","-7","92","5467","51.2","60.7","41.8"
"USC00202015","DEARBORN, MI US","42.3195","-83.2377","184.4","2018","-6","94","6354","49.9","58.6","41.2"
"USC00202015","DEARBORN, MI US","42.3195","-83.2377","184.4","2019","-15","94","6239","49.5","58.3","40.6"
"US1MIWS0003","PLYMOUTH 5.4 W, MI US","42.382785","-83.571244","266.4","2012",,,,,,
"US1MIWS0003","PLYMOUTH 5.4 W, MI US","42.382785","-83.571244","266.4","2013",,,,,,
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2006",,,,,,
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2007","-3","97",,"50.6","60.7","40.6"
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2008","3","95","6082","49.4","59.4","39.3"
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2009","-10","95","6345","49.1","59.2","39.1"
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2010",,,,,,
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2011","2","100","6312","51.1","60.3","41.9"
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2012","5","100","4988","53.5","63.5","43.5"
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2013","0","96","6045","49.8","58.9","40.7"
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2014","-14","93","6952","47.4","56.8","38.0"
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2015","-9","93","6699","50.0","59.5","40.4"
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2016",,,"5330",,,
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2017","-1",,,,,"43.2"
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2018","-3","94",,"50.3","58.5","42.1"
"USC00202016","DEARBORN NUMBER 2, MI US","42.3469","-83.1736","184.4","2019",,,"6079",,,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2006","3","96","5969","50.6","60.4","40.8"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2007","-8","95","6441","48.9","59.0","38.8"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2008","-2","94","6592","47.7","58.0","37.5"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2009","-17","94","6994","47.6","57.7","37.5"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2010","-1","96","6088","50.8","60.7","41.0"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2011","-10","103","6572","51.0","60.7","41.2"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2012","3","105","4837","54.5","65.6","43.4"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2013","-2","97","5842","50.8","60.6","41.0"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2014","-13","96","6702","49.3","59.3","39.2"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2015","-18","97","6251","52.1","62.5","41.6"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2016","-4","100","4813","54.2","64.6","43.8"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2017","-7","97","5237","52.2","62.5","42.0"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2018","-7","98","6017","51.8","61.2","42.3"
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23333","-83.53333","236.8","2019","-15","96","6040","51.3","60.8","41.7"
"USC00201250","CARLETON 2 W, MI US","42.0636","-83.4358","191.1","2009","-20","93",,"47.2","57.0","37.4"
"USC00201250","CARLETON 2 W, MI US","42.0636","-83.4358","191.1","2010","-4","94","6036","50.6","60.1","41.1"
"USC00201250","CARLETON 2 W, MI US","42.0636","-83.4358","191.1","2011",,,"6613",,,
"USC00201250","CARLETON 2 W, MI US","42.0636","-83.4358","191.1","2012","2","100",,"52.6","63.2","42.0"
"USC00201250","CARLETON 2 W, MI US","42.0636","-83.4358","191.1","2014","-16","91","7314","46.7","56.3","36.9"
"USC00201250","CARLETON 2 W, MI US","42.0636","-83.4358","191.1","2015","-23","90","6971","49.3","59.0","39.7"
"USC00201250","CARLETON 2 W, MI US","42.0636","-83.4358","191.1","2016","-7","95","5472","51.7","61.3","42.1"
"US1MIOK0074","SOUTH LYON 0.5 NW, MI US","42.4647521972656","-83.6592788696289","280.7","2014",,,,,,
"US1MIOK0074","SOUTH LYON 0.5 NW, MI US","42.4647521972656","-83.6592788696289","280.7","2015",,,,,,
"US1MIOK0035","WATERFORD 2.1 NW, MI US","42.687418","-83.413166","299.3","2011",,,,,,
"US1MIOK0035","WATERFORD 2.1 NW, MI US","42.687418","-83.413166","299.3","2013",,,,,,
"US1MIOK0035","WATERFORD 2.1 NW, MI US","42.687418","-83.413166","299.3","2014",,,,,,
"US1MIOK0035","WATERFORD 2.1 NW, MI US","42.687418","-83.413166","299.3","2015",,,,,,
"US1MIOK0035","WATERFORD 2.1 NW, MI US","42.687418","-83.413166","299.3","2019",,,,,,
"USC00202427","EASTPOINTE, MI US","42.4588","-82.9438","182.9","2007","-3","98",,"50.4","60.4","40.4"
"USC00202427","EASTPOINTE, MI US","42.4588","-82.9438","182.9","2008","1","94","6214","49.3","59.1","39.5"
"USC00202427","EASTPOINTE, MI US","42.4588","-82.9438","182.9","2009","-7","95","6521","48.9","58.7","39.1"
"USC00202427","EASTPOINTE, MI US","42.4588","-82.9438","182.9","2010","3","96","5846","51.4","60.7","42.1"
"USC00202427","EASTPOINTE, MI US","42.4588","-82.9438","182.9","2011","4","101","6618","50.1","58.7","41.4"
"US1MIMB0033","ROSEVILLE 1.7 ENE, MI US","42.5147724151611","-82.9042267799377","180.4","2015",,,,,,
"US1MIMB0033","ROSEVILLE 1.7 ENE, MI US","42.5147724151611","-82.9042267799377","180.4","2016",,,,,,
"US1MIMB0033","ROSEVILLE 1.7 ENE, MI US","42.5147724151611","-82.9042267799377","180.4","2017",,,,,,
"US1MIMB0033","ROSEVILLE 1.7 ENE, MI US","42.5147724151611","-82.9042267799377","180.4","2018",,,,,,
"US1MIMB0033","ROSEVILLE 1.7 ENE, MI US","42.5147724151611","-82.9042267799377","180.4","2019",,,,,,
"USC00203477","GROSSE POINTE FARMS, MI US","42.4077","-82.8891","186.8","2007",,"96",,,"58.1",
"USC00203477","GROSSE POINTE FARMS, MI US","42.4077","-82.8891","186.8","2008",,"92",,,"56.1",
"USC00203477","GROSSE POINTE FARMS, MI US","42.4077","-82.8891","186.8","2012","6","100","5141","51.9","60.4","43.4"
"USC00203477","GROSSE POINTE FARMS, MI US","42.4077","-82.8891","186.8","2013","0","94","6118","48.3","56.0","40.6"
"USC00203477","GROSSE POINTE FARMS, MI US","42.4077","-82.8891","186.8","2014","-14","91","7114","45.9","54.0","37.8"
"USC00203477","GROSSE POINTE FARMS, MI US","42.4077","-82.8891","186.8","2015","-11","92","7043","48.7","56.8","40.7"
"USC00203477","GROSSE POINTE FARMS, MI US","42.4077","-82.8891","186.8","2016","2","97","5459","51.4","59.3","43.5"
"USC00203477","GROSSE POINTE FARMS, MI US","42.4077","-82.8891","186.8","2017","0","92","5415","50.6","58.7","42.4"
"USC00203477","GROSSE POINTE FARMS, MI US","42.4077","-82.8891","186.8","2018","-4","95","6297","48.6","56.6","40.5"
"USC00203477","GROSSE POINTE FARMS, MI US","42.4077","-82.8891","186.8","2019",,"96",,,"56.5",
"US1MIWY0039","NORTHVILLE 1.5 SW, MI US","42.423192","-83.511038","267.0","2012",,,,,,
"USC00206303","OXFORD, MI US","42.8094","-83.2569","317.0","2006",,,,,,
"USC00206303","OXFORD, MI US","42.8094","-83.2569","317.0","2007",,,,,,
"USC00206303","OXFORD, MI US","42.8094","-83.2569","317.0","2008",,,,,,
"US1MIMR0009","CARLETON 2.5 S, MI US","42.0212526619434","-83.3944923430681","187.5","2013",,,,,,
"US1MIMR0009","CARLETON 2.5 S, MI US","42.0212526619434","-83.3944923430681","187.5","2014",,,,,,
"US1MIMR0009","CARLETON 2.5 S, MI US","42.0212526619434","-83.3944923430681","187.5","2016",,,,,,
"US1MIMR0009","CARLETON 2.5 S, MI US","42.0212526619434","-83.3944923430681","187.5","2017",,,,,,
"US1MIMR0009","CARLETON 2.5 S, MI US","42.0212526619434","-83.3944923430681","187.5","2018",,,,,,
